sales_id,date,product_category,quantity,price,previous_sales,promotion,discount,customers,season,sales
SALE00001,2023-01-01,Apparel,54,38.47,1075.91,Yes,0.24,57,Winter,3778.05
SALE00002,2023-01-01,Beauty,33,33.59,886.41,No,0.0,27,Winter,1530.31
SALE00003,2023-01-01,Grocery,43,16.16,1117.05,No,0.0,27,Winter,933.28
SALE00004,2023-01-01,Electronics,38,243.09,865.98,No,0.0,25,Winter,12071.21
SALE00005,2023-01-02,Apparel,47,48.86,3778.05,No,0.0,49,Winter,2773.82
SALE00006,2023-01-02,Grocery,19,15.68,933.28,No,0.0,14,Winter,304.61
SALE00007,2023-01-03,Beauty,37,35.95,1530.31,Yes,0.23,40,Winter,2001.17
SALE00008,2023-01-03,Sports,42,61.15,991.64,Yes,0.2,36,Winter,3822.85
SALE00009,2023-01-03,Home & Garden,52,63.17,1054.0,No,0.0,39,Winter,3328.56
SALE00010,2023-01-04,Home & Garden,33,70.63,3328.56,No,0.0,35,Winter,2518.38
SALE00011,2023-01-04,Apparel,52,47.55,2773.82,No,0.0,37,Winter,2927.02
SALE00012,2023-01-04,Electronics,28,249.01,12071.21,No,0.0,23,Winter,8193.56
SALE00013,2023-01-05,Electronics,52,200.14,8193.56,No,0.0,56,Winter,12024.85
SALE00014,2023-01-05,Sports,45,65.21,3822.85,No,0.0,43,Winter,2926.77
SALE00015,2023-01-05,Apparel,54,50.77,2927.02,No,0.0,48,Winter,3230.19
SALE00016,2023-01-06,Apparel,26,49.04,3230.19,No,0.0,15,Winter,1430.9
SALE00017,2023-01-06,Electronics,39,231.99,12024.85,No,0.0,41,Winter,9236.33
SALE00018,2023-01-06,Sports,55,47.24,2926.77,No,0.0,36,Winter,3072.44
SALE00019,2023-01-07,Home & Garden,52,69.38,2518.38,Yes,0.24,50,Winter,6458.8
SALE00020,2023-01-07,Sports,66,47.84,3072.44,No,0.0,52,Winter,4292.77
SALE00021,2023-01-07,Beauty,44,34.47,2001.17,No,0.0,42,Winter,1823.81
